user_id,role_k1500,onet_code,onet_title,affected_score
34779733,it audit,15-1212.00,Information Security Analysts,0.625
145554095,compliance,13-1041.00,Compliance Officers,0.625
4068523,tax preparer,13-2082.00,Tax Preparers,0.625
13859834,tax preparer,13-2082.00,Tax Preparers,0.625
175032688,tax preparer,13-2082.00,Tax Preparers,0.625
137136981,tax preparer,13-2082.00,Tax Preparers,0.625
41653477,tax preparer,13-2082.00,Tax Preparers,0.625
122557720,tax preparer,13-2082.00,Tax Preparers,0.625
73282719,tax preparer,13-2082.00,Tax Preparers,0.625
150426687,it audit,15-1212.00,Information Security Analysts,0.625
90490048,tax preparer,13-2082.00,Tax Preparers,0.625
83863035,compliance officer,13-1041.00,Compliance Officers,0.625
27796319,tax preparer,13-2082.00,Tax Preparers,0.625
203472648,tax preparer,13-2082.00,Tax Preparers,0.625
9571252,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
16681605,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
111977694,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
76117874,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
193661391,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
19130220,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
189597912,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
122176017,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
100925868,scheduler,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
4110905,production coordinator,43-5061.00,"Production, Planning, and Expediting Clerks",0.6176470588235294
14274218,network engineer,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
33261672,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
208904093,network,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
208560043,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
201633583,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
9221006,network engineer,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
172093427,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
8286978,network engineer,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
170810312,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
150401579,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
196385372,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
70506751,network engineer,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
109795224,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
139303559,network engineer,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
81852171,network support engineer,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
18172652,network engineer,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
202972776,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
7344888,network engineer,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
28534470,network technician,15-1241.01,Telecommunications Engineering Specialists,0.6153846153846154
27329207,records,15-1299.03,Document Management Specialists,0.6086956521739131
22413646,project administrator,15-1299.03,Document Management Specialists,0.6086956521739131
145540440,records,15-1299.03,Document Management Specialists,0.6086956521739131
149698573,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
194186585,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
153146856,purchasing,43-3061.00,Procurement Clerks,0.6052631578947368
12360055,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
33302672,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
68132040,purchaser,43-3061.00,Procurement Clerks,0.6052631578947368
154283560,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
1041786,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
176139900,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
162875286,hr coordinator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
27265803,hr coordinator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
16854048,procurement officer,43-3061.00,Procurement Clerks,0.6052631578947368
176696895,hr officer,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
18452674,purchasing,43-3061.00,Procurement Clerks,0.6052631578947368
52564815,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
166127416,purchasing,43-3061.00,Procurement Clerks,0.6052631578947368
165870619,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
203505906,purchasing,43-3061.00,Procurement Clerks,0.6052631578947368
60593272,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
99073741,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
19113151,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
42181402,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
160450448,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
100152781,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
187373795,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
6452275,hr coordinator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
114125538,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
71546367,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
196436483,purchasing,43-3061.00,Procurement Clerks,0.6052631578947368
72690049,hr officer,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
93454309,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
103015227,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
111614911,purchasing,43-3061.00,Procurement Clerks,0.6052631578947368
191768016,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
90057939,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
173476767,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
192337176,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
84167085,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
87080836,purchaser,43-3061.00,Procurement Clerks,0.6052631578947368
84814509,human resources administrator,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6052631578947368
34127071,procurement officer,43-3061.00,Procurement Clerks,0.6052631578947368
184618130,sales consultant,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6052631578947368
38718075,economist,19-3011.01,Environmental Economists,0.6000000000000001
131937621,economist,19-3011.01,Environmental Economists,0.6000000000000001
203508805,economist,19-3011.01,Environmental Economists,0.6000000000000001
207168227,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
4180094,business banking,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
4946111,business banking,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
39562871,research engineer,17-2199.09,Nanosystems Engineers,0.6
3610267,research engineer,17-2199.09,Nanosystems Engineers,0.6
32696379,financial services representative,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
166414375,relationship,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
121463523,research engineer,17-2199.09,Nanosystems Engineers,0.6
5121765,research engineer,17-2199.09,Nanosystems Engineers,0.6
18292268,financial representative,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
22526359,banker,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6
