role_k1500,role_k1000,role_k500,role_k300,role_k150,role_k50,job_category,onet_code,onet_title
java software developer,Java Developer,Java Developer,Java Developer,Technology Analyst,Software Engineer,Engineer,15-1251.00,Computer Programmers
java software engineer,Java Developer,Java Developer,Java Developer,Technology Analyst,Software Engineer,Engineer,15-1252.00,Software Developers
journalist,Editor,Writer,Writer,Writer,Producer,Marketing,27-3023.00,"News Analysts, Reporters, and Journalists"
key,Sales Floor Associate,Sales Floor Associate,Sales Floor Associate,Cashier,Cashier,Sales,41-1011.00,First-Line Supervisors of Retail Sales Workers
key account,Key Account Manager,Key Account Manager,Key Account Manager,Sales Associate,Sales Associate,Sales,11-2022.00,Sales Managers
key account sales,Product Sales Specialist,Key Account Manager,Key Account Manager,Sales Associate,Sales Associate,Sales,11-2022.00,Sales Managers
key accounts,Key Accounts Manager,Key Account Manager,Key Account Manager,Sales Associate,Sales Associate,Sales,11-2022.00,Sales Managers
key holder,Sales Floor Associate,Sales Floor Associate,Sales Floor Associate,Cashier,Cashier,Sales,41-1011.00,First-Line Supervisors of Retail Sales Workers
keyholder,Sales Floor Associate,Sales Floor Associate,Sales Floor Associate,Cashier,Cashier,Sales,41-1011.00,First-Line Supervisors of Retail Sales Workers
kitchen,Cook,Cook,Cook,Crew Member,Crew Member,Sales,35-2015.00,"Cooks, Short Order"
knowledge,Knowledge Management Specialist,Instructional Designer,Technical Writer,Technical Writer,Designer,Marketing,27-3042.00,Technical Writers
kyc analyst,KYC Analyst,KYC Analyst,Fraud Analyst,Fraud Analyst,Legal,Admin,13-1041.00,Compliance Officers
lab,Lab Technician,Laboratory Technician,Laboratory Technician,Laboratory Technician,Quality Assurance,Engineer,51-9082.00,Medical Appliance Technicians
lab tech,Lab Technician,Laboratory Technician,Laboratory Technician,Laboratory Technician,Quality Assurance,Engineer,51-9083.00,Ophthalmic Laboratory Technicians
lab technician,Lab Technician,Laboratory Technician,Laboratory Technician,Laboratory Technician,Quality Assurance,Engineer,51-9082.00,Medical Appliance Technicians
labor relations,Labor Relations Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Admin,13-1075.00,Labor Relations Specialists
laboratory,Laboratory Technician,Laboratory Technician,Laboratory Technician,Laboratory Technician,Quality Assurance,Engineer,29-2012.00,Medical and Clinical Laboratory Technicians
laboratory analyst,Laboratory Analyst,Quality Control Analyst,Quality Control Analyst,Quality Assurance,Quality Assurance,Engineer,19-4031.00,Chemical Technicians
laboratory technician,Laboratory Technician,Laboratory Technician,Laboratory Technician,Laboratory Technician,Quality Assurance,Engineer,29-2012.00,Medical and Clinical Laboratory Technicians
laborer,General Laborer,General Laborer,Equipment Operator,Machine Operator,Machine Operator,Engineer,37-3013.00,Tree Trimmers and Pruners
law,Law Clerk,Legal,Legal,Legal,Legal,Admin,23-1012.00,Judicial Law Clerks
lawyer,Legal,Legal,Legal,Legal,Legal,Admin,23-1011.00,Lawyers
leadership,Leadership,Leadership,Leadership,Development Manager,Development Manager,Admin,21-2021.00,"Directors, Religious Activities and Education"
leadership development,Leadership Development,Leadership,Leadership,Development Manager,Development Manager,Admin,11-3131.00,Training and Development Managers
lean,Continuous Improvement Specialist,Industrial Engineer,Manufacturing Engineer,Manufacturing Associate,Production Operator,Engineer,17-2112.00,Industrial Engineers
lean sigma belt,Six Sigma Black Belt,Six Sigma Black Belt,Six Sigma Black Belt,Manufacturing Associate,Production Operator,Engineer,17-2112.00,Industrial Engineers
leasing,Leasing Specialist,Property Manager,Property Manager,Property Manager,Financial Advisor,Finance,41-2021.00,Counter and Rental Clerks
leasing consultant,Leasing Specialist,Property Manager,Property Manager,Property Manager,Financial Advisor,Finance,41-2021.00,Counter and Rental Clerks
lecturer,Professor,Professor,Corporate Trainer,Corporate Trainer,Coordinator,Admin,25-1054.00,"Physics Teachers, Postsecondary"
ledger accountant,General Ledger Accountant,Financial Reporting Specialist,Treasury Specialist,Auditor,Accountant,Finance,13-2011.00,Accountants and Auditors
legal,Legal,Legal,Legal,Legal,Legal,Admin,23-1011.00,Lawyers
legal compliance,Legal Counsel,Legal,Legal,Legal,Legal,Admin,13-1041.00,Compliance Officers
legal counsel,Legal Counsel,Legal,Legal,Legal,Legal,Admin,23-1011.00,Lawyers
lending,Lending Specialist,Loan Officer,Loan Officer,Realtor,Financial Advisor,Finance,13-2072.00,Loan Officers
licensing,Licensing Specialist,Licensing Specialist,Licensing Specialist,Legal,Legal,Admin,11-2011.00,Advertising and Promotions Managers
lifeguard,Lifeguard,Crew Member,Crew Member,Crew Member,Crew Member,Sales,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
lineman,Lineman,Heavy Equipment Operator,Equipment Operator,Machine Operator,Machine Operator,Engineer,49-9052.00,Telecommunications Line Installers and Repairers
linux system administrator,Linux System Administrator,Unix System Administrator,Unix System Administrator,Database Administrator,IT Specialist,Engineer,15-1242.00,Database Administrators
loan,Loan Officer,Loan Officer,Loan Officer,Realtor,Financial Advisor,Finance,43-4131.00,Loan Interviewers and Clerks
loan officer,Loan Officer,Loan Officer,Loan Officer,Realtor,Financial Advisor,Finance,13-2072.00,Loan Officers
loan processor,Loan Processor,Loan Processor,Loan Processor,Collections Specialist,Claims Specialist,Finance,43-4131.00,Loan Interviewers and Clerks
loan servicing,Loan Servicing Specialist,Loan Processor,Loan Processor,Collections Specialist,Claims Specialist,Finance,43-4131.00,Loan Interviewers and Clerks
location,Location Manager,Location Manager,Location Manager,Restaurant Manager,Crew Member,Sales,11-1021.00,General and Operations Managers
logistic,Logistics,Logistics,Logistics,Logistics,Logistics,Operations,13-1081.00,Logisticians
logistics,Logistics,Logistics,Logistics,Logistics,Logistics,Operations,13-1081.00,Logisticians
logistics analyst,Supply Chain Analyst,Supply Chain Specialist,Supply Chain Specialist,Logistics,Logistics,Operations,13-1081.02,Logistics Analysts
logistics coordinator,Logistics Coordinator,Logistics,Logistics,Logistics,Logistics,Operations,43-5011.00,Cargo and Freight Agents
logistics engineer,Logistics Engineer,Production Control Manager,Materials Specialist,Logistics,Logistics,Operations,13-1081.01,Logistics Engineers
loss mitigation,Loan Servicing Specialist,Loan Processor,Loan Processor,Collections Specialist,Claims Specialist,Finance,43-4131.00,Loan Interviewers and Clerks
loss prevention,Loss Prevention,Loss Prevention,Loss Prevention,Loss Prevention,Retail Sales,Sales,11-9199.08,Loss Prevention Managers
m a,M&A,Investment Banking,Investment Banking,Investment Specialist,Investment Specialist,Finance,11-3031.03,Investment Fund Managers
machine,Machine Operator,Machine Operator,Machine Operator,Machine Operator,Machine Operator,Engineer,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
machine engineer,Machine Learning Engineer,Data Scientist,Data Scientist,Data Scientist,Data Analyst,Engineer,15-2051.00,Data Scientists
machinist,Machinist,Machinist,Machine Operator,Machine Operator,Machine Operator,Engineer,51-4041.00,Machinists
maintenance,Maintenance Specialist,Maintenance Specialist,Maintenance Specialist,Process Engineer,Mechanical Engineer,Engineer,51-8021.00,Stationary Engineers and Boiler Operators
maintenance coordinator,Maintenance Specialist,Maintenance Specialist,Maintenance Specialist,Process Engineer,Mechanical Engineer,Engineer,51-8021.00,Stationary Engineers and Boiler Operators
maintenance electrician,Maintenance Mechanic,Maintenance Technician,Maintenance Technician,Mechanic,Machine Operator,Engineer,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
maintenance engineer,Maintenance Engineer,Maintenance Engineer,Maintenance Specialist,Process Engineer,Mechanical Engineer,Engineer,49-9071.00,"Maintenance and Repair Workers, General"
maintenance mechanic,Maintenance Mechanic,Maintenance Technician,Maintenance Technician,Mechanic,Machine Operator,Engineer,49-9043.00,"Maintenance Workers, Machinery"
maintenance planner,Maintenance Planner,Maintenance Specialist,Maintenance Specialist,Process Engineer,Mechanical Engineer,Engineer,51-8013.00,Power Plant Operators
maintenance technician,Maintenance Technician,Maintenance Technician,Maintenance Technician,Mechanic,Machine Operator,Engineer,49-9043.00,"Maintenance Workers, Machinery"
major account,Major Account Manager,Business Account Manager,Senior Sales Development Representative,Customer Success Specialist,Sales Associate,Sales,11-2022.00,Sales Managers
major accounts,Major Account Manager,Business Account Manager,Senior Sales Development Representative,Customer Success Specialist,Sales Associate,Sales,11-2011.00,Advertising and Promotions Managers
makeup artist,Makeup Artist,Model,Photographer,Producer,Producer,Marketing,39-5091.00,"Makeup Artists, Theatrical and Performance"
manufacturing,Manufacturing Associate,Manufacturing Associate,Manufacturing Associate,Manufacturing Associate,Production Operator,Engineer,11-3051.00,Industrial Production Managers
manufacturing engineer,Manufacturing Engineer,Manufacturing Engineer,Manufacturing Engineer,Manufacturing Associate,Production Operator,Engineer,17-2112.03,Manufacturing Engineers
manufacturing engineering,Manufacturing Engineer,Manufacturing Engineer,Manufacturing Engineer,Manufacturing Associate,Production Operator,Engineer,17-2112.03,Manufacturing Engineers
manufacturing operations,Manufacturing Associate,Manufacturing Associate,Manufacturing Associate,Manufacturing Associate,Production Operator,Engineer,11-3051.03,Biofuels Production Managers
manufacturing process engineer,Manufacturing Engineer,Manufacturing Engineer,Manufacturing Engineer,Manufacturing Associate,Production Operator,Engineer,17-2112.03,Manufacturing Engineers
manufacturing technician,Production Technician,Production Technician,Production Technician,Production Operator,Production Operator,Engineer,51-8099.01,Biofuels Processing Technicians
market,Market Specialist,Sales Operations,Sales Associate,Sales Associate,Sales Associate,Sales,11-2022.00,Sales Managers
market access,Market Access Manager,Market Access Manager,Alliance Manager,Product Manager,Product Manager,Sales,11-9199.01,Regulatory Affairs Managers
market analyst,Market Analyst,Market Research,Market Research,Market Research,Product Manager,Sales,13-1161.00,Market Research Analysts and Marketing Specialists
market development,Market Development,Business Development,Business Development,Account Manager,Sales Associate,Sales,11-2021.00,Marketing Managers
market research,Market Research,Market Research,Market Research,Market Research,Product Manager,Sales,13-1161.00,Market Research Analysts and Marketing Specialists
market research analyst,Market Research,Market Research,Market Research,Market Research,Product Manager,Sales,13-1161.00,Market Research Analysts and Marketing Specialists
market risk,Market Risk Management,Quantitative Analyst,Risk Analyst,Risk Analyst,Investment Specialist,Finance,13-2054.00,Financial Risk Specialists
market sales,Market Specialist,Sales Operations,Sales Associate,Sales Associate,Sales Associate,Sales,11-2022.00,Sales Managers
marketing,Marketing,Marketing,Marketing,Marketing,Marketing,Marketing,11-2021.00,Marketing Managers
marketing analyst,Marketing Analyst,Marketing Coordinator,Marketing,Marketing,Marketing,Marketing,13-1161.00,Market Research Analysts and Marketing Specialists
marketing business development,Business Development,Business Development,Business Development,Account Manager,Sales Associate,Sales,11-2021.00,Marketing Managers
marketing communication,Marketing Communications Specialist,Marketing,Marketing,Marketing,Marketing,Marketing,13-1161.01,Search Marketing Strategists
marketing communications,Marketing Communications Specialist,Marketing,Marketing,Marketing,Marketing,Marketing,13-1161.01,Search Marketing Strategists
marketing consultant,Marketing,Marketing,Marketing,Marketing,Marketing,Marketing,13-1161.01,Search Marketing Strategists
marketing coordinator,Marketing Coordinator,Marketing Coordinator,Marketing,Marketing,Marketing,Marketing,13-1161.01,Search Marketing Strategists
marketing officer,Marketing Officer,Marketing,Marketing,Marketing,Marketing,Marketing,13-1161.01,Search Marketing Strategists
marketing operations,Marketing Operations,Marketing Coordinator,Marketing,Marketing,Marketing,Marketing,11-2021.00,Marketing Managers
marketing product,Product Marketing,Product Marketing,Product Manager,Product Manager,Product Manager,Sales,11-2021.00,Marketing Managers
marketing project,Marketing Project Manager,Marketing,Marketing,Marketing,Marketing,Marketing,13-1161.01,Search Marketing Strategists
marketing representative,Marketing Representative,Sales Operations,Sales Associate,Sales Associate,Sales Associate,Sales,11-2011.00,Advertising and Promotions Managers
marketing research,Market Research,Market Research,Market Research,Market Research,Product Manager,Sales,13-1161.00,Market Research Analysts and Marketing Specialists
marketing sales,Sales And Marketing Specialist,Sales And Marketing Specialist,Account Manager,Account Manager,Sales Associate,Sales,11-2021.00,Marketing Managers
marketing services,Marketing Coordinator,Marketing Coordinator,Marketing,Marketing,Marketing,Marketing,11-2021.00,Marketing Managers
markets,Global Markets,Global Markets,Trader,Wealth Manager,Financial Advisor,Finance,11-3031.03,Investment Fund Managers
material,Materials Specialist,Materials Specialist,Materials Specialist,Logistics,Logistics,Operations,13-1081.00,Logisticians
material handler,Material Handler,Material Handler,Warehouse Worker,Driver,Distribution Specialist,Operations,51-9198.00,Helpers--Production Workers
material planner,Material Planner,Buyer/Planner,Supply Chain Specialist,Logistics,Logistics,Operations,13-1081.00,Logisticians
materials,Materials Specialist,Materials Specialist,Materials Specialist,Logistics,Logistics,Operations,11-3071.04,Supply Chain Managers
materials coordinator,Materials Specialist,Materials Specialist,Materials Specialist,Logistics,Logistics,Operations,13-1081.00,Logisticians
materials engineer,Materials Engineer,Process Development Manager,Process Development Manager,Quality Engineer,Production Operator,Engineer,17-2131.00,Materials Engineers
materials handler,Material Handler,Material Handler,Warehouse Worker,Driver,Distribution Specialist,Operations,51-9198.00,Helpers--Production Workers
materials planner,Material Planner,Buyer/Planner,Supply Chain Specialist,Logistics,Logistics,Operations,13-1081.00,Logisticians
md,MD,MD,MD,MD,Operations Manager,Operations,11-1011.00,Chief Executives
meat,Produce Associate,Produce Associate,Stocker,Cashier,Cashier,Sales,51-3021.00,Butchers and Meat Cutters
mechanic,Mechanic,Mechanic,Mechanic,Mechanic,Machine Operator,Engineer,49-9041.00,Industrial Machinery Mechanics
mechanical,Mechanical Specialist,Mechanical Specialist,Maintenance Technician,Mechanic,Machine Operator,Engineer,49-9071.00,"Maintenance and Repair Workers, General"
mechanical design engineer,Mechanical Design Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Engineer,17-2141.00,Mechanical Engineers
mechanical designer,Mechanical Design Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Engineer,17-2141.00,Mechanical Engineers
mechanical engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Engineer,17-2141.00,Mechanical Engineers
mechanical engineering,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Engineer,17-2141.00,Mechanical Engineers
mechanical fitter,Mechanical Fitter,Mechanical Specialist,Maintenance Technician,Mechanic,Machine Operator,Engineer,49-9044.00,Millwrights
mechanical technician,Mechanical Specialist,Mechanical Specialist,Maintenance Technician,Mechanic,Machine Operator,Engineer,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
media,Media Manager,Media Manager,Content Specialist,Content Specialist,Producer,Marketing,13-1161.01,Search Marketing Strategists
media buyer,Media Planner,Media Planner,Account Coordinator,Brand Manager,Marketing,Marketing,41-3011.00,Advertising Sales Agents
media planner,Media Planner,Media Planner,Account Coordinator,Brand Manager,Marketing,Marketing,13-1161.01,Search Marketing Strategists
media relations,Public Affairs,Public Affairs,Communications Specialist,Communications Specialist,Communications Specialist,Marketing,27-3031.00,Public Relations Specialists
medical,Medical Rep,Medical Rep,Medical Rep,Medical Rep,Medical Rep,Scientist,29-1071.00,Physician Assistants
medical affairs,Medical Affairs,Medical Affairs,Medical Affairs,Regulatory Affairs Associate,Clinical Research Associate,Scientist,11-9199.01,Regulatory Affairs Managers
medical information,Medical Information Specialist,Drug Safety Specialist,Drug Safety Specialist,Regulatory Affairs Associate,Clinical Research Associate,Scientist,13-1041.07,Regulatory Affairs Specialists
medical representative,Medical Sales Representative,Medical Sales Representative,Medical Sales Representative,Sales Training Specialist,Sales Representative,Sales,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
medical sales representative,Medical Sales Representative,Medical Sales Representative,Medical Sales Representative,Sales Training Specialist,Sales Representative,Sales,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
medical science liaison,Medical Science Liaison,Medical Affairs,Medical Affairs,Regulatory Affairs Associate,Clinical Research Associate,Scientist,29-1229.01,Allergists and Immunologists
medical technologist,Medical Technologist,Phlebotomist,Phlebotomist,Medical Rep,Medical Rep,Scientist,29-2011.00,Medical and Clinical Laboratory Technologists
medical writer,Medical Writer,Medical Writer,Drug Safety Specialist,Regulatory Affairs Associate,Clinical Research Associate,Scientist,11-9199.01,Regulatory Affairs Managers
merchandise,Merchandising Specialist,Merchandiser,Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
merchandise planner,Merchandise Planner,Merchandiser,Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
merchandiser,Merchandiser,Merchandiser,Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
merchandising,Merchandising Specialist,Merchandiser,Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
merchant,Merchandising Specialist,Merchandiser,Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
mergers acquisitions,M&A,Investment Banking,Investment Banking,Investment Specialist,Investment Specialist,Finance,11-3031.03,Investment Fund Managers
microbiologist,Microbiologist,Quality Control Analyst,Quality Control Analyst,Quality Assurance,Quality Assurance,Engineer,19-1022.00,Microbiologists
millwright,Maintenance Mechanic,Maintenance Technician,Maintenance Technician,Mechanic,Machine Operator,Engineer,49-9044.00,Millwrights
mining engineer,Mining Engineer,Mining Engineer,Geologist,Geologist,Geologist,Scientist,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
mobile,Mobile Specialist,Mobile Specialist,Mobile Specialist,Web Developer,Software Engineer,Engineer,41-2031.00,Retail Salespersons
mobility,Mobility Specialist,Transition Manager,Transition Manager,HR Business Partner,Human Resources Specialist,Admin,13-1071.00,Human Resources Specialists
module,Module Operator,Module Operator,Module Operator,Software Engineer,Software Engineer,Engineer,15-1252.00,Software Developers
mortgage,Mortgage Specialist,Loan Officer,Loan Officer,Realtor,Financial Advisor,Finance,13-2072.00,Loan Officers
mortgage banker,Mortgage Loan Officer,Loan Officer,Loan Officer,Realtor,Financial Advisor,Finance,13-2072.00,Loan Officers
mortgage consultant,Mortgage Specialist,Loan Officer,Loan Officer,Realtor,Financial Advisor,Finance,13-2072.00,Loan Officers
mortgage loan officer,Mortgage Loan Officer,Loan Officer,Loan Officer,Realtor,Financial Advisor,Finance,13-2072.00,Loan Officers
mortgage loan originator,Mortgage Loan Officer,Loan Officer,Loan Officer,Realtor,Financial Advisor,Finance,13-2072.00,Loan Officers
mortgage loan processor,Loan Processor,Loan Processor,Loan Processor,Collections Specialist,Claims Specialist,Finance,43-4131.00,Loan Interviewers and Clerks
mortgage underwriter,Mortgage Underwriter,Loan Processor,Loan Processor,Collections Specialist,Claims Specialist,Finance,43-4131.00,Loan Interviewers and Clerks
nanny,Nanny,Home Department Manager,Home Department Manager,Cleaner,Cashier,Sales,39-9011.01,Nannies
negotiator,Negotiator,Real Estate Specialist,Property Manager,Property Manager,Financial Advisor,Finance,43-4011.00,Brokerage Clerks
net developer,.NET Developer,Software Developer,Software Developer,Software Developer,Software Engineer,Engineer,15-1251.00,Computer Programmers
network,Network Specialist,Network Specialist,Network Specialist,Network Specialist,IT Specialist,Engineer,15-1241.01,Telecommunications Engineering Specialists
network administrator,Systems Administrator,System Administrator,System Administrator,IT Specialist,IT Specialist,Engineer,15-1244.00,Network and Computer Systems Administrators
network analyst,Network Analyst,Network Specialist,Network Specialist,Network Specialist,IT Specialist,Engineer,15-1244.00,Network and Computer Systems Administrators
network architect,Network Architect,Network Architect,Network Engineer,Infrastructure Engineer,Infrastructure Engineer,Engineer,15-1299.08,Computer Systems Engineers/Architects
network consultant,Network Engineer,Network Engineer,Network Engineer,Infrastructure Engineer,Infrastructure Engineer,Engineer,15-1241.01,Telecommunications Engineering Specialists
network consulting engineer,Network Consulting Engineer,Network Architect,Network Engineer,Infrastructure Engineer,Infrastructure Engineer,Engineer,15-1299.08,Computer Systems Engineers/Architects
network engineer,Network Engineer,Network Engineer,Network Engineer,Infrastructure Engineer,Infrastructure Engineer,Engineer,15-1241.01,Telecommunications Engineering Specialists
network engineering,Network Engineering,Network Architect,Network Engineer,Infrastructure Engineer,Infrastructure Engineer,Engineer,15-1241.01,Telecommunications Engineering Specialists
network operations,Network Operations,Network Operations,IT Operations,Network Specialist,IT Specialist,Engineer,15-1244.00,Network and Computer Systems Administrators
network security engineer,Network Engineer,Network Engineer,Network Engineer,Infrastructure Engineer,Infrastructure Engineer,Engineer,15-1241.01,Telecommunications Engineering Specialists
network services,Network Operations,Network Operations,IT Operations,Network Specialist,IT Specialist,Engineer,15-1244.00,Network and Computer Systems Administrators
network support,Network Analyst,Network Specialist,Network Specialist,Network Specialist,IT Specialist,Engineer,15-1244.00,Network and Computer Systems Administrators
network support engineer,Network Support Engineer,Network Engineer,Network Engineer,Infrastructure Engineer,Infrastructure Engineer,Engineer,15-1241.01,Telecommunications Engineering Specialists
network technician,Network Technician,Network Specialist,Network Specialist,Network Specialist,IT Specialist,Engineer,15-1241.01,Telecommunications Engineering Specialists
non,Non Executive Director,MD,MD,MD,Operations Manager,Operations,11-1011.00,Chief Executives
nurse,Nurse,Nurse,Nurse,Medical Rep,Medical Rep,Scientist,29-1141.01,Acute Care Nurses
nursing,Nurse,Nurse,Nurse,Medical Rep,Medical Rep,Scientist,29-1141.01,Acute Care Nurses
occupational therapist,Occupational Therapist,Clinical Specialist,Clinical Specialist,Case Manager,Medical Rep,Scientist,29-1122.00,Occupational Therapists
officer,Officer,Officer,Officer,Officer,Operations Manager,Operations,11-1011.00,Chief Executives
online,Online Specialist,Online Specialist,Digital Marketing Specialist,Digital Marketing Specialist,Marketing,Marketing,27-3043.05,"Poets, Lyricists and Creative Writers"
online marketing,Digital Marketing Specialist,Digital Marketing Specialist,Digital Marketing Specialist,Digital Marketing Specialist,Marketing,Marketing,13-1161.01,Search Marketing Strategists
operating officer,Chief Operating Officer,Chief Operating Officer,Chief Operating Officer,Operations Manager,Operations Manager,Operations,11-1011.00,Chief Executives
operation,Operation Specialist,Operation Specialist,Operations Manager,Operations Manager,Operations Manager,Operations,11-1021.00,General and Operations Managers
operations,Operations Manager,Operations Manager,Operations Manager,Operations Manager,Operations Manager,Operations,53-2022.00,Airfield Operations Specialists
operations administrator,Operations Administrator,Operations Administrator,Operations Administrator,Operations Administrator,Operations Administrator,Admin,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
operations analyst,Operations Analyst,Operations Analyst,Operations Analyst,Business Operations,Business Operations,Operations,15-1299.06,Digital Forensics Analysts
operations coordinator,Operations Coordinator,Operations Coordinator,Operations Coordinator,Operations Coordinator,Distribution Specialist,Operations,53-2022.00,Airfield Operations Specialists
operations engineer,Operations Engineer,Operations Engineer,Process Engineer,Process Engineer,Mechanical Engineer,Engineer,17-2171.00,Petroleum Engineers
operations officer,Operations Officer,Operation Specialist,Operations Manager,Operations Manager,Operations Manager,Operations,53-2022.00,Airfield Operations Specialists
operations project,Operations Project Manager,Operations Project Manager,Operations Project Manager,Delivery Manager,Delivery Manager,Engineer,13-1082.00,Project Management Specialists
operations representative,Operations Representative,Service Representative,Service Representative,Customer Service,Customer Service,Sales,43-3071.00,Tellers
operations support,Operations Support,Operations Support,Operations Support,Support Staff,Operations Administrator,Admin,53-2022.00,Airfield Operations Specialists
operations technician,Operations Technician,Operations Technician,Operations Technician,Mechanic,Machine Operator,Engineer,51-4051.00,Metal-Refining Furnace Operators and Tenders
ops,Ops Specialist,Vendor Management,Vendor Management,Vendor Management,Customer Service,Sales,53-2022.00,Airfield Operations Specialists
optician,Optician,Optician,Sales Floor Associate,Cashier,Cashier,Sales,29-2081.00,"Opticians, Dispensing"
oracle database administrator,DBA,Database Administrator,Database Administrator,Database Administrator,IT Specialist,Engineer,15-1242.00,Database Administrators
oracle dba,DBA,Database Administrator,Database Administrator,Database Administrator,IT Specialist,Engineer,15-1243.01,Data Warehousing Specialists
oracle developer,Oracle Developer,ETL Developer,Data Engineer,Data Engineer,Software Engineer,Engineer,15-1243.00,Database Architects
order,Order Management Specialist,Order Management Specialist,Sales Support,Sales Support,Customer Service,Sales,43-4151.00,Order Clerks
order picker,Warehouse Worker,Warehouse Worker,Warehouse Worker,Driver,Distribution Specialist,Operations,53-7065.00,Stockers and Order Fillers
outside sales,Outside Sales Representative,Account Representative,Inside Sales,Inside Sales,Sales Associate,Sales,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
outside sales representative,Outside Sales Representative,Account Representative,Inside Sales,Inside Sales,Sales Associate,Sales,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
overnight stocker,Stocker,Stocker,Stocker,Cashier,Cashier,Sales,53-7065.00,Stockers and Order Fillers
pa,PA,PA,Admin,Operations Administrator,Operations Administrator,Admin,43-6012.00,Legal Secretaries and Administrative Assistants
package handler,Package Handler,Package Handler,Driver,Driver,Distribution Specialist,Operations,51-9198.00,Helpers--Production Workers
packaging,Packaging Specialist,Packaging Specialist,Packaging Specialist,Production Operator,Production Operator,Engineer,51-8099.01,Biofuels Processing Technicians
packaging engineer,Packaging Engineer,Packaging Specialist,Packaging Specialist,Production Operator,Production Operator,Engineer,17-2112.03,Manufacturing Engineers
packer,Packer,Warehouse Worker,Warehouse Worker,Driver,Distribution Specialist,Operations,53-7064.00,"Packers and Packagers, Hand"
paralegal,Paralegal,Paralegal,Licensing Specialist,Legal,Legal,Admin,23-2011.00,Paralegals and Legal Assistants
paramedic,Paramedic,Paramedic,Nurse,Medical Rep,Medical Rep,Scientist,29-2043.00,Paramedics
parts,Parts Specialist,Parts Specialist,Parts Specialist,Sales Service Representative,Retail Sales,Sales,41-2022.00,Parts Salespersons
parts sales,Parts Specialist,Parts Specialist,Parts Specialist,Sales Service Representative,Retail Sales,Sales,41-2022.00,Parts Salespersons
passenger service agent,Passenger Service Agent,Flight Attendant,Flight Attendant,Receptionist,Receptionist,Sales,53-2031.00,Flight Attendants
payroll,Payroll Specialist,Payroll Specialist,Payroll Specialist,Payroll Specialist,Human Resources Specialist,Admin,11-3111.00,Compensation and Benefits Managers
payroll administrator,Payroll Specialist,Payroll Specialist,Payroll Specialist,Payroll Specialist,Human Resources Specialist,Admin,11-3111.00,Compensation and Benefits Managers
payroll analyst,Payroll Specialist,Payroll Specialist,Payroll Specialist,Payroll Specialist,Human Resources Specialist,Admin,11-3111.00,Compensation and Benefits Managers
payroll coordinator,Payroll Specialist,Payroll Specialist,Payroll Specialist,Payroll Specialist,Human Resources Specialist,Admin,11-3111.00,Compensation and Benefits Managers
people,People Manager,HR Business Partner,HR Business Partner,HR Business Partner,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
petroleum engineer,Reservoir Engineer,Drilling Engineer,Drilling Engineer,Geologist,Geologist,Scientist,17-2171.00,Petroleum Engineers
pharmaceutical sales,Pharmaceutical Sales Representative,Pharmaceutical Sales Representative,Medical Sales Representative,Sales Training Specialist,Sales Representative,Sales,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
pharmaceutical sales representative,Pharmaceutical Sales Representative,Pharmaceutical Sales Representative,Medical Sales Representative,Sales Training Specialist,Sales Representative,Sales,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
pharmacist,Pharmacist,Pharmacist,Pharmacy Technician,Pharmacy Technician,Cashier,Sales,29-1051.00,Pharmacists
pharmacovigilance,Drug Safety Specialist,Drug Safety Specialist,Drug Safety Specialist,Regulatory Affairs Associate,Clinical Research Associate,Scientist,13-1041.07,Regulatory Affairs Specialists
pharmacy,Pharmacist,Pharmacist,Pharmacy Technician,Pharmacy Technician,Cashier,Sales,31-9095.00,Pharmacy Aides
